# H-H RDF for MACE
# r g(r)
6.0166666667 0.9951892499
6.0500000000 0.9958621428
6.0833333333 0.9977838210
6.1166666667 0.9995522190
6.1500000000 0.9995554188
6.1833333333 0.9996047473
6.2166666667 1.0028338922
6.2500000000 1.0052999106
6.2833333333 1.0031512599
6.3166666667 1.0047649210
6.3500000000 1.0036437431
6.3833333333 1.0034954849
6.4166666667 1.0069559105
6.4500000000 1.0021913781
6.4833333333 1.0049606917
6.5166666667 1.0075007922
6.5500000000 1.0091839295
6.5833333333 1.0072803739
6.6166666667 1.0098395752
6.6500000000 1.0061464648
6.6833333333 1.0083811115
6.7166666667 1.0072469223
6.7500000000 1.0077886552
6.7833333333 1.0085478239
6.8166666667 1.0076782512
6.8500000000 1.0090394875
6.8833333333 1.0094058278
6.9166666667 1.0097548098
6.9500000000 1.0092236941
6.9833333333 1.0082349370
7.0166666667 1.0095468225
7.0500000000 1.0069463868
7.0833333333 1.0106062496
7.1166666667 1.0083660475
7.1500000000 1.0086729419
7.1833333333 1.0083233554
7.2166666667 1.0100971110
7.2500000000 1.0108746938
7.2833333333 1.0119030324
7.3166666667 1.0104727739
7.3500000000 1.0100653293
7.3833333333 1.0105249015
7.4166666667 1.0093342576
7.4500000000 1.0100503401
7.4833333333 1.0089022733
7.5166666667 1.0100526412
7.5500000000 1.0100339689
7.5833333333 1.0085277548
7.6166666667 1.0072997738
7.6500000000 1.0071067865
7.6833333333 1.0101202784
7.7166666667 1.0079643353
7.7500000000 1.0099602918
7.7833333333 1.0088377050
7.8166666667 1.0108747211
7.8500000000 1.0096065212
7.8833333333 1.0072778372
7.9166666667 1.0079751750
7.9500000000 1.0066806656
7.9833333333 1.0055910163
8.0166666667 1.0065136656
8.0500000000 1.0059464808
8.0833333333 1.0050599721
8.1166666667 1.0043844911
8.1500000000 1.0043520395
8.1833333333 1.0049532688
8.2166666667 1.0024197277
8.2500000000 1.0040353597
8.2833333333 1.0041508961
8.3166666667 1.0011404258
8.3500000000 1.0006824138
8.3833333333 1.0006668561
8.4166666667 0.9989699984
8.4500000000 0.9986971948
8.4833333333 0.9974899146
8.5166666667 0.9966026791
8.5500000000 0.9974865422
8.5833333333 0.9956755051
8.6166666667 0.9963283595
8.6500000000 0.9966003355
8.6833333333 0.9939087779
8.7166666667 0.9956790064
8.7500000000 0.9943471249
8.7833333333 0.9934701159
8.8166666667 0.9941906344
8.8500000000 0.9921782804
8.8833333333 0.9916972828
8.9166666667 0.9928807036
8.9500000000 0.9949237940
8.9833333333 0.9939783906
9.0166666667 0.9917393647
9.0500000000 0.9922814129
9.0833333333 0.9917247091
